stage,quotient,easy,medium,hard
T1,CRQ,2,4,1
T1,SRQ,2,3,1
T1,LQ,2,3,1
T1,SIQ,2,3,1
T1,PEQ,2,3,2
T1,DAQ,1,2,1
T2,CRQ,3,4,2
T2,SRQ,2,4,2
T2,LQ,2,5,2
T2,DAQ,2,4,2
T3,SIQ,2,4,3
T3,PEQ,2,5,3
T3,LQ,1,4,2
T3,DAQ,2,4,2
T4,CRQ,1,2,2
T4,SRQ,1,2,2
T4,LQ,0,2,3
T4,SIQ,0,2,3
T4,PEQ,1,3,2
T4,DAQ,1,2,2
T4,SEQ,1,3,1
AIQ,CRQ,1,3,1
AIQ,SRQ,1,2,1
AIQ,LQ,1,2,1
AIQ,SIQ,1,2,1
AIQ,PEQ,1,3,1
AIQ,DAQ,2,4,3
AIQ,SEQ,1,3,1
SQ,CRQ,1,2,1
SQ,SRQ,1,3,2
SQ,LQ,1,2,1
SQ,SIQ,2,3,2
SQ,PEQ,1,2,1
SQ,DAQ,1,1,1
SQ,SEQ,2,4,2
PIQ,CRQ,1,3,1
PIQ,SRQ,1,3,2
PIQ,LQ,1,3,1
PIQ,SIQ,1,3,1
PIQ,PEQ,1,3,1
PIQ,DAQ,1,2,1
PIQ,SEQ,1,3,2
